Sr. No,id,Brand,Merchant Sku,Product Name ,Manufacturer,Flavour,Mass,Supplier,Primary Product Category,Secondary Category,MRP,Weight,HSN Code,GST Rate,Flavor,Vegetarian/Non-Vegetarian,Manufactured in,Form,UPC
1,1,GNC,80200157,GNC L-Arginine 1000mg - Aids Maintain Healthy Blood Vessel Tone (90 Taplets),GNC,,,GNC,Protein & Fitness,Muscle Builders,2699,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107123413
2,2,GNC,80200231,GNC Pro Performance L-Carnitine  500 - Fuels Nitric Oxide and Muscle Recovery (60 Tablets),GNC,,,GNC,Protein & Fitness,Muscle Builders,2999,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107032227
3,3,GNC,80200446,GNC  Pro Performance BCAA 1800 - Aids Reduce Muscle Protein Breakdown (240 Capsules),GNC,,,GNC,Protein & Fitness,Muscle Builders,4849,,21069099,18%,,Non-Vegetarian,USA,Softgel,48107042509
4,4,GNC,80200752,GNC 100% Amplified Gold Whey Protein Advanced Powder,GNC,Vanilla,1.96 Lb,GNC,Protein & Fitness,Protein,5199,,21061000,18%,Vanilla,Vegetarian,USA,Powder,48107140205
5,4,GNC,80200749,GNC 100%  Amplified Gold Whey Protein Advanced Powder ,GNC,Chocolate,2.05 Lb,GNC,Protein & Fitness,Protein,5199,,21061000,18%,Chocolate,Vegetarian,USA,Powder,48107140199
6,5,GNC,80200700,GNC Pro Performance 100% Whey Protein Powder ,GNC,Vanilla,1.05 lb,GNC,Protein & Fitness,Protein,2999,,21061000,18%,Vanilla,Vegetarian,USA,Powder,48107167080
7,6,GNC,80200795,GNC Pro Performance 100% Amplified Gold Whey Protein Advanced ,GNC,Strawberry,1.98lb,GNC,Protein & Fitness,Protein,5199,,21061000,18%,Strawberry,Vegetarian,USA,Powder,48107140212
8,6,GNC,80200793,GNC Pro Performance 100% Amplified Gold Whey Protein Advanced ,GNC,Cookies N Cream,2.05lb,GNC,Protein & Fitness,Protein,5199,,21061000,18%,Cookies and cream,Vegetarian,USA,Powder,48107140229
9,7,GNC,80200710,GNC Pro Performance 100 % Whey Protein Powder for Weight Gain ,GNC,Chocolate,1.09lb,GNC,Protein & Fitness,Protein,2999,,21061000,18%,Chocolate,Vegetarian,USA,Powder,48107167073
10,8,GNC,80200831,"GNC Pro Performance Zinc Magnesium Amino Complex - Supports Anabolic Hormone Production, Promotes Deep Sleep & Relaxation (60 Tablets) ",GNC,,,GNC,Protein & Fitness,Performance Formulas,3999,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107169619
11,5,GNC,80200702,GNC Pro Performance 100% Whey Protein Powder ,GNC,Strawberry,2.01lb,GNC,Protein & Fitness,Protein,4949,,21061000,18%,Strawberry,Vegetarian,USA,Powder,48107167158
12,5,GNC,80200683,GNC Pro Performance 100% Whey Protein Powder ,GNC,Cookies N Cream,2 lbs,GNC,Protein & Fitness,Protein,4899,,21061000,18%,Cookies and cream,Vegetarian,USA,Powder,48107167165
13,5,GNC,80200701,GNC Pro Performance 100% Whey Protein Powder ,GNC,Vanilla,2.02lb,GNC,Protein & Fitness,Protein,4899,,21061000,18%,Vanilla,Vegetarian,USA,Powder,48107167141
14,9,GNC,80200699,GNC Pro Performance 100% Whey Protein for Men & Women Powder ,GNC,Chocolate,2.1lb,GNC,Protein & Fitness,Protein,4899,,21061000,18%,Chocolate,Vegetarian,USA,Powder,48107167134
15,10,GNC,80200566,GNC Pro Performance HMB 100 - Supports Protein Synthesis and  Prevents Muscle Breakdown (240 Tablets),GNC,,,GNC,Protein & Fitness,Muscle Builders,5349,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107064129
16,11,GNC,80200741,GNC Taurine 500mg-  Supports Muscle Function (50 Vegetarian Caplets),GNC,,,GNC,Protein & Fitness,Muscle Builders,1249,,21069099,18%,,Vegetarian,USA,Caplet,48107122577
17,12,GNC,80200367,GNC Pro Performance BCAA 1800 - Supports Muscle Tissue Recovery (120 Sofgel Capsules),GNC,,,GNC,Protein & Fitness,Muscle Builders,2349,,21069099,18%,,Non-Vegetarian,USA,Softgel,48107148782
18,13,GNC,80200715,GNC L Arginine And Citrulline (120 Caplets),GNC,,,GNC,Protein & Fitness,Muscle Builders,3049,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107123390
19,14,GNC,80200860,GNC Pro Performance Bulk Gainer Powder (Chocolate) (7.14lb),GNC,,,GNC,Protein & Fitness,Protein,6299,,21061000,18%,Chocolate,Non-Vegetarian,USA,Powder,48107169664
20,15,GNC,80200697,GNC Mass Gainer Complex Powder for Men & Women (Chocolate) (2.5 Lbs),GNC,,,GNC,Protein & Fitness,Protein,3349,,21061000,18%,Chocolate,Vegetarian,USA,Powder,48107169688
21,16,GNC,80200694,"GNC Pro Performance Amino Complex 4400 - Helps Preserve Muscle Glycogen Stores, Provides More Energy and Intensity (240 Capsule)",GNC,,,GNC,Protein & Fitness,Muscle Builders,4299,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107079581
22,17,GNC,80200540,GNC Amplified Mass XXX Cookies and Cream Powder for Improving Muscle Stamina & Strength (6.1 lb),GNC,,6.1lb,GNC,Protein & Fitness,Protein,6849,,21061000,18%,Cookies and Cream,Vegetarian,USA,Powder,48107087043
23,18,GNC,80200536,GNC Amplified Mass Gainer Powder (Chocolate Flavor) (6.1Lb),GNC,,,GNC,Protein & Fitness,Protein,6849,,21061000,18%,Chocolate,Vegetarian,USA,Powder,48107087005
24,19,GNC,80200602,"GNC Soy Protein Powder for Vegan, Unflavored (11.09 Oz) (315g)",GNC,,,GNC,Protein & Fitness,Protein,1999,,21061000,18%,,Vegetarian,USA,Powder,48107125936
25,20,GNC,80200377,GNC Pro Performance Amino 1000 - Full Spectrum Amino Acids (120 Softgel Capsule),GNC,,,GNC,Protein & Fitness,Muscle Builders,3049,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107148294
26,21,GNC,80200368,GNC Creatine Monohydrate Powder for Improving Muscle Strength & Engery (250gm),GNC,,,GNC,Protein & Fitness,Muscle Builders,1849,,21069099,18%,,Vegetarian,USA,Powder,48107042820
27,22,GNC,80200751,GNC 100% Whey Amplified Gold Protein Powder ,GNC,Vanilla,4.9lb,GNC,Protein & Fitness,Protein,8549,,21061000,18%,Vanilla,Vegetarian,USA,Powder,48107140311
28,22,GNC,80200750,GNC 100% Whey Amplified Gold Protein Powder ,GNC,Chocolate,5.12lb,GNC,Protein & Fitness,Protein,8549,,21061000,18%,Chocolate,Vegetarian,USA,Powder,48107140236
29,23,GNC,80200796,GNC Pro Performance 100% Whey Protein Powder Amp Gold Advance (Strawberry) (4.94 lb),GNC,,,GNC,Protein & Fitness,Protein,8549,,21061000,18%,Strawberry,Vegetarian,USA,Powder,48107140328
30,17,GNC,80200538,GNC Amplified Mass XXX Powder for Improving Muscle Stamina & Strength (Vanilla Flavour) (6.1Lb),GNC,Vanilla,6.1lb,GNC,Protein & Fitness,Protein,6849,,21061000,18%,Vanilla,Vegetarian,USA,Powder,48107087012
31,24,GNC,80200452,GNC Pro Performance L-Glutamine - Supports Muscle Recovery (90 Softgel Capsule),GNC,,,GNC,Protein & Fitness,Muscle Builders,1999,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107041410
32,5,GNC,80200703,GNC Pro Performance 100% Whey Protein Powder ,GNC,Strawberry,4.76lb,GNC,Protein & Fitness,Protein,7899,,21061000,18%,Strawberry,Vegetarian,USA,Powder,48107167226
33,5,GNC,80200718,GNC Pro Performance 100% Whey Protein Powder ,GNC,Cookies N Cream,4.84lb,GNC,Protein & Fitness,Protein,7899,,21061000,18%,Cookies and cream,Vegetarian,USA,Powder,48107167233
34,7,GNC,80200711,GNC Pro Performance 100 % Whey Protein Powder for Weight Gain ,GNC,Chocolate,5lb,GNC,Protein & Fitness,Protein,7899,,21061000,18%,Chocolate,Vegetarian,USA,Powder,48107167202
35,9,GNC,80200682,GNC Pro Performance 100% Whey Protein for Men & Women ,GNC,Vanilla Powder,4.8 lb,GNC,Protein & Fitness,Protein,7899,,21061000,18%,Vanilla,Vegetarian,USA,Powder,48107167219
36,25,GNC,80200669,GNC Unflavor Rapid Drive Glut 500 Powder (300gm),GNC,,,GNC,Protein & Fitness,Performance Formulas,3799,,21069099,18%,,Vegetarian,USA,Powder,48107090777
37,26,GNC,80200361,GNC Creatine Monohydrate Fuels Skeletal Muscles that Support Immediate Energy Production During Intensive Workouts (500 gm),GNC,,,GNC,Protein & Fitness,Muscle Builders,2649,,21069099,18%,,Vegetarian,USA,Powder,48107042790
38,27,GNC,80200038,GNC L-Glutamine Powder (1 lb),GNC,,,GNC,Protein & Fitness,Muscle Builders,4849,,21069099,18%,,Vegetarian,USA,Powder,48107042844
39,28,GNC,80200884,"GNC PUREDGE Complete Vegan Protein Powder, (Natural Vanilla) (2.38 lb)",GNC,,,GNC,Protein & Fitness,Protein,6749,,21061000,18%,Vanilla,Vegetarian,USA,Powder,48107154400
40,4,GNC,80200794,GNC Pro Performance Amplified Gold 100 Percent Whey Protein Advanced ,GNC,Cookies N Cream,2625g,GNC,Protein & Fitness,Protein,8549,,21061000,18%,Cookies and cream,Vegetarian,USA,Powder,48107140335
41,29,GNC,80200056,GNC Weight Gainer 2200 Powder ,GNC,Chocolate,6lb,GNC,Protein & Fitness,Protein,4299,,21061000,18%,Chocolate,Non-Vegetarian,USA,Powder,48107152628
42,29,GNC,80200057,GNC Weight Gainer 2200 Powder ,GNC,Vanilla,6lb,GNC,Protein & Fitness,Protein,4149,,21061000,18%,Vanilla Flavor,Non-Vegetarian,USA,Powder,48107152635
43,30,GNC,80200899,GNC Pro Performance Bulk 1340 - Vanilla for Weight gain (7.14 lbs),GNC,,,GNC,Protein & Fitness,Protein,6299,,21061000,18%,Vanilla,Non-Vegetarian,USA,Powder,48107156688
44,31,GNC,80200017,GNC Melatonin 3mg - Supports Restful Sleep (120 Vegetarian Tablets),GNC,,,GNC,Vitamins & Supplements,Specialty Supplements,2149,,21069099,18%,,Vegetarian,USA,Tablet,48107123055
45,32,GNC,80200615,"GNC Vitamin D-3 5000 IU Supports Teeth, Bone & Immune Health (180 Tablets)",GNC,,,GNC,Vitamins & Supplements,Vitamins A-Z,3699,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107123512
46,33,GNC,80200621,"GNC Calcium Plus 1000 with Magnesium and Vitamin D3 for Building and Maintaning Strong, Healthy Bones (180 Caplets)",GNC,,,GNC,Vitamins & Supplements,Minerals,3849,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107122737
47,34,GNC,80200181,GNC Zinc 50 mg A Dietary Supplement (100 Vegetarain Tablets),GNC,,,GNC,Vitamins & Supplements,Minerals,1649,,21069099,18%,,Vegetarian,USA,Tablet,48107121891
48,35,GNC,80200312,GNC Men's Staminol Daily Male Performance (60 Capsules),GNC,,,GNC,Vitamins & Supplements,Sexual Health,2599,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107160517
49,36,GNC,80200101,GNC Women's Hair Skin And Nails Formula Supports Beauty From Within ,GNC,,120 Tablets,GNC,Vitamins & Supplements,Beauty Care,3499,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107155544
50,37,GNC,80200485,GNC CoQ-10 100mg - Support Heart and Blood Vessel Function (30 Softgels),GNC,,,GNC,Vitamins & Supplements,Anti-Oxidants,2449,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107083175
51,38,GNC,80200271,GNC Magnesium 500mg Essential for Calcium Absorption and Strong Bones and Teeth (120 Capsules),GNC,,,GNC,Vitamins & Supplements,Minerals,2249,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107123611
52,39,GNC,80200020,GNC DHA 250 Omega 3 Fatty Acids - Supports Optimal Brain Function and Development (60 Softgels),GNC,,,GNC,Vitamins & Supplements,Fish Oil & Omegas,1999,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107030124
53,40,GNC,80200193,GNC Flax Seed Oil 1000 mg (90 Softgel Capsules),GNC,,,GNC,Vitamins & Supplements,Fish Oil & Omegas,2199,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107147846
54,41,GNC,80200161,GNC Mega Men Sport Timed Release (90 Caplets),GNC,,90 Caplets,GNC,Vitamins & Supplements,Multivitamins,3099,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107154905
55,42,GNC,80200852,"GNC Preventive Nutrition Healthy Blood Pressure Formula - Supports Normal, Healthy Blood Pressure Levels (90 Capsule)",GNC,,,GNC,Vitamins & Supplements,Specialty Supplements,6099,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107115876
56,43,GNC,80200840,GNC Kids Gummy Multivitamin For Bone & Immune Support (120 Gummies),GNC,,,GNC,Vitamins & Supplements,Multivitamins,2999,,21069099,18%,,Non-Vegetarian,USA,Gummies,48107115494
57,44,GNC,80200415,GNC Mega Men 50 Plus Timed Release ,GNC,,60 Caplets,GNC,Vitamins & Supplements,Multivitamins,2899,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107155018
58,45,GNC,80200177,"GNC Ultra Nourish Hair Premium Formula for Men - Supports The Structural Foundation of Strong, Healthy Hair (120 Caplets)",GNC,,,GNC,Vitamins & Supplements,Beauty Care,2699,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107009342
59,44,GNC,80200622,Gnc Mega Men 50 Plus - Supports Heart Health Timed Release,GNC,,120 Caplets,GNC,Vitamins & Supplements,Multivitamins,4849,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107155025
60,46,GNC,80200841,"GNC Milestones Teen Gummy Multivitamin For Teens 12-17 - Supports Immunity, Energy Production & Overall Health (120 Gummies)",GNC,,,GNC,Vitamins & Supplements,Multivitamins,2899,,21069099,18%,,Non-Vegetarian,USA,Gummies,48107115500
61,47,GNC,80200866,GNC Women's Ultra Mega 50 Plus For Skin Support & Bone Health (120 Caplets),GNC,,,GNC,Vitamins & Supplements,Multivitamins,4299,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107158835
62,48,GNC,80200865,GNC Mega Men Timed Release (180 Caplets),GNC,,,GNC,Vitamins & Supplements,Multivitamins,4399,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107158521
63,49,GNC,80200589,"GNC Triple Strength Fish Oil Supports Heart, Brain, Skin, Eye & Joint Health (60 Softgels)",GNC,,,GNC,Vitamins & Supplements,Fish Oil & Omegas,3599,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107170615
64,50,GNC,80200833,GNC Vitamin C 1000mg A Protective Antioxidant that Provides Immune Support (180 Vegetarian Caplets),GNC,,,GNC,Vitamins & Supplements,Vitamins A-Z,2849,,21069099,18%,,Vegetarian,USA,Caplet,48107123574
65,51,GNC,80200032,GNC Men's Arginmax Sexual Health Formula for Men (90 Caplets),GNC,,,GNC,Vitamins & Supplements,Sexual Health,3499,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107042936
66,52,GNC,80200003,"GNC Triple Cod Liver Oil - Supports Heart, Joint, Eye, Brain and Immune Health (90 Softgels)",GNC,,,GNC,Vitamins & Supplements,Fish Oil & Omegas,1999,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107170608
67,53,GNC,80200380,GNC Fish Body Oil 1000mg with Omega 3 Fatty Acid (90 Softgels Capsules),GNC,,,GNC,Vitamins & Supplements,Fish Oil & Omegas,1999,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107147501
68,54,GNC,80200072,GNC Mega Men Premium Multiple Vitamin and Mineral Supplement Formulated for Men With Nutraseal Freshness Coating - Timed Release (100 Tablets),GNC,,,GNC,Vitamins & Supplements,Multivitamins,3349,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107064235
69,55,GNC,80200030,GNC Super Digestive Support Enzyme Promotes Digestion (100 Capsules),GNC,,,GNC,Digestion & Superfoods,Digestive Support,2749,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107074159
70,56,GNC,80200763,GNC Fiber Gummies Natural Flavor for Healthy Digestion and Regularity (80 Gummies),GNC,,,GNC,Digestion & Superfoods,Digestive Support,3499,,21069099,18%,,Non-Vegetarian,USA,Gummies,48107080068
71,57,GNC,80200764,GNC Probiotic Complex Promotes Healthy Digestion and Supports Immune Health (10bn) (90 Capsules),GNC,,,GNC,Digestion & Superfoods,Digestive Support,3999,,21069099,18%,,Vegetarian,USA,Capusle,48107134778
72,58,GNC,80200375,GNC Cleansing Formula for Digestive Health (120 Capsules),GNC,,,GNC,Digestion & Superfoods,Cleansing & Detox,2549,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107159160
73,59,GNC,80200684,GNC Ultra Probiotic Complex 25 a Health Supplement (30 Capsules),GNC,,,GNC,Digestion & Superfoods,Digestive Support,3149,,21069099,18%,,Vegetarian,USA,Capusle,48107111113
74,60,GNC,80200614,GNC Men's Ultra Saw Palmetto a Prostate Health Formula for Men (120 Tablets),GNC,,,GNC,Herbs & Natural Remedies,Herbs,2499,,21069099,18%,,Vegetarian,USA,Capusle,48107151003
75,61,GNC,80200685,GNC Ultra Probiotic Complex Plus a Health Supplement (30 Capsules),GNC,,,GNC,Digestion & Superfoods,Digestive Support,3299,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107111533
76,62,GNC,80200473,GNC Green Tea Extract Veg Cap a Herbal Supplement (90 Capsules),GNC,,,GNC,Herbs & Natural Remedies,Anti-Oxidants,2199,,21069099,18%,,Vegetarian,USA,Capusle,48107152765
