finder_id,type
9932,Fitternity
12046,Fitternity
8892,Fitternity
3184,Fitternity
1860,Fitternity
13961,Fitternity
6593,Fitternity
9459,Fitternity
1604,Fitternity
9400,Fitternity
12164,Fitternity
12008,Fitternity
1429,Fitternity
8848,Fitternity
4823,Fitternity
13968,Fitternity
1259,Fitternity
5746,Fitternity
12691,Fitternity
11246,Fitternity
10965,Fitternity
9954,Fitternity
1490,Fitternity
1493,Fitternity
4819,Fitternity
1583,Fitternity
14184,Fitternity
9427,Fitternity
6259,Fitternity
9415,Fitternity
9111,Fitternity
10119,Fitternity
11230,Fitternity
13660,Fitternity
7335,Fitternity
978,Fitternity
6377,Fitternity
11021,Fitternity
6910,Fitternity
10567,Fitternity
5041,Fitternity
8865,Fitternity
9600,Fitternity
1582,Fitternity
9365,Fitternity
1031,Fitternity
13898,Fitternity
14016,Fitternity
5745,Fitternity
12692,Fitternity
1908,Fitternity
8821,Fitternity
9726,Fitternity
1584,Fitternity
13094,Fitternity
424,Fitternity
6133,Fitternity
6530,Fitternity
12208,Fitternity
12516,Fitternity
1876,Fitternity
9149,Fitternity
13965,Fitternity
11183,Fitternity
3720,Fitternity
11965,Fitternity
13064,Fitternity
10571,Fitternity
5728,Fitternity
824,Fitternity
11103,Fitternity
2421,Fitternity
12157,Fitternity
12811,Fitternity
449,Fitternity
9624,Fitternity
4834,Fitternity
11223,Fitternity
13996,Fitternity
12049,Fitternity
13396,Fitternity
6250,Fitternity
12077,Fitternity
13205,Fitternity
9417,Fitternity
11176,Fitternity
12757,Fitternity
4818,Fitternity
1215,Fitternity
5681,Fitternity
11307,Fitternity
647,Fitternity
8823,Fitternity
3239,Fitternity
6907,Fitternity
878,Fitternity
2194,Fitternity
3210,Fitternity
5750,Fitternity
12101,Fitternity
7053,Fitternity
12569,Fitternity
14185,Fitternity
6095,Fitternity
6468,Fitternity
625,Fitternity
1607,Fitternity
7054,Fitternity
1484,Fitternity
11810,Fitternity
7438,Fitternity
11971,Fitternity
12771,Fitternity
613,Fitternity
4534,Fitternity
4742,Fitternity
6411,Fitternity
4824,Fitternity
2209,Fitternity
3953,Fitternity
4602,Fitternity
7355,Fitternity
2545,Fitternity
8871,Fitternity
1262,Capitation
1846,Fitternity
11037,Fitternity
1691,Fitternity
11231,Fitternity
9480,Fitternity
12223,Fitternity
10568,Fitternity
12118,Fitternity
12166,Fitternity
13730,Fitternity
9671,Fitternity
