Order ID,Duration Day
22991,90
22990,180
22989,30
22988,360
22987,
22986,360
22985,1
22984,360
22983,1
22982,180
22981,
22980,30
22979,1
22978,360
22977,360
22976,3
22975,120
22974,360
22973,1
22972,30
22971,90
22970,360
22969,
22968,30
22967,30
22966,30
22965,360
22964,360
22963,90
22962,
22961,360
22960,30
22959,360
22958,30
22957,360
22956,5
22955,120
22954,90
22953,30
22952,90
22951,3
22950,360
22949,360
22948,1
22947,90
22946,90
22945,3
22944,90
22943,30
22942,30
22941,30
22940,30
22939,1
22938,90
22937,360
22936,1
22935,1
22934,1
22933,1
22932,1
22931,180
22930,30
22929,1
22928,30
22927,30
22926,30
22925,30
22924,360
22923,90
22922,30
22921,30
22920,180
22919,30
22918,450
22917,30
22916,30
22915,30
22914,360
22913,180
22912,360
22911,30
22910,30
22909,30
22908,90
22907,1
22906,1
22905,90
22904,90
22903,30
22902,1
22901,90
22900,90
22899,30
22898,
22897,90
22896,90
22895,90
22894,30
22893,30
22892,30
22891,90
22890,360
22889,30
22888,180
22887,90
22886,90
22885,90
22884,180
22883,30
22882,30
22881,30
22880,
22879,
22878,3
22877,90
22876,3
22875,455
22874,90
22873,1
22872,1
22871,1
22870,90
22869,90
22868,30
22867,360
22866,1
22865,1
22864,395
22863,90
22862,360
22861,30
22860,
22859,360
22858,30
22857,30
22856,360
22855,90
22854,360
22853,180
22852,180
22851,1
22850,180
22849,30
22848,90
22847,3
22846,30
22845,180
22844,90
22843,180
22842,90
22841,90
22840,180
22839,30
22838,30
22837,30
22836,3
22835,30
22834,300
22833,30
22832,90
22831,1
22830,90
22829,1
22828,90
22827,
22826,30
22825,1
22824,30
22823,30
22822,30
22821,30
22820,1
22819,180
22818,1
22817,1
22816,90
22815,90
22814,
22813,3
22812,3
22811,3
22810,30
22809,1
22808,30
22807,30
22806,90
22805,360
22804,30
22803,30
22802,90
22801,90
22800,90
22799,90
22798,90
22797,90
22796,
22795,180
22794,360
22793,3
22792,30
