Transaction ID,Order ID,Date
Fit12517,12517,15/06/2017 19:24:43
Fit18845,18845,06/04/2016 15:33:47
Fit18963,18963,15/07/2016 23:12:04
Fit19296,19296,06/04/2016 10:08:57
Fit19805,19805,13/04/2016 20:13:03
Fit19940,19940,03/04/2016 21:02:35
Fit19979,19979,05/04/2016 17:26:18
Fit19980,19980,05/04/2016 16:22:20
Fit20052,20052,08/04/2016 16:31:07
Fit20160,20160,02/04/2016 23:19:34
Fit20205,20205,03/04/2016 21:13:42
Fit20226,20226,01/04/2016 17:10:15
Fit20266,20266,04/04/2016 19:33:42
Fit20291,20291,04/04/2016 14:31:41
Fit20300,20300,01/04/2016 13:34:00
Fit20318,20318,07/04/2016 14:08:59
Fit20323,20323,01/04/2016 15:09:51
Fit20328,20328,06/04/2016 12:26:02
Fit20341,20341,01/04/2016 14:55:41
Fit20342,20342,01/04/2016 14:00:17
Fit20346,20346,01/04/2016 11:35:34
Fit20347,20347,02/04/2016 23:28:17
Fit20348,20348,03/04/2016 20:04:02
Fit20352,20352,01/04/2016 13:43:23
Fit20359,20359,02/04/2016 12:51:32
Fit20368,20368,01/04/2016 18:33:12
Fit20370,20370,04/04/2016 16:15:22
Fit20374,20374,02/04/2016 13:36:51
Fit20376,20376,02/04/2016 04:53:14
Fit20378,20378,02/04/2016 06:49:46
Fit20379,20379,02/04/2016 06:55:35
Fit20381,20381,02/04/2016 19:45:38
Fit20391,20391,02/04/2016 19:44:13
Fit20395,20395,27/04/2016 17:20:50
Fit20398,20398,03/04/2016 22:21:39
Fit20400,20400,03/04/2016 18:29:49
MFIT20402,20402,03/04/2016 20:29:31
Fit20406,20406,04/04/2016 10:49:06
Fit20407,20407,04/04/2016 10:55:12
Fit20408,20408,04/04/2016 11:39:13
Fit20409,20409,06/04/2016 18:39:29
Fit20411,20411,04/04/2016 12:38:41
Fit20414,20414,04/04/2016 13:12:07
Fit20415,20415,04/04/2016 12:54:46
Fit20416,20416,04/04/2016 13:13:00
Fit20422,20422,04/04/2016 15:04:37
Fit20423,20423,04/04/2016 16:25:25
Fit20427,20427,05/04/2016 10:23:48
Fit20428,20428,04/04/2016 19:15:58
Fit20429,20429,05/04/2016 18:12:37
Fit20438,20438,05/04/2016 08:26:24
Fit20439,20439,05/04/2016 10:48:52
Fit20441,20441,05/04/2016 11:58:09
Fit20442,20442,05/04/2016 12:14:07
Fit20444,20444,05/04/2016 12:33:12
Fit20447,20447,05/04/2016 14:35:46
Fit20449,20449,05/04/2016 14:40:22
Fit20450,20450,05/04/2016 14:44:15
Fit20451,20451,05/04/2016 14:51:26
Fit20452,20452,05/04/2016 14:56:06
Fit20454,20454,05/04/2016 15:28:50
Fit20455,20455,05/04/2016 21:52:37
Fit20456,20456,11/04/2016 21:48:07
Fit20470,20470,06/04/2016 00:40:12
Fit20472,20472,06/04/2016 11:31:57
Fit20473,20473,07/04/2016 11:38:56
Fit20475,20475,06/04/2016 19:06:47
Fit20497,20497,06/04/2016 21:43:05
Fit20500,20500,07/04/2016 11:12:32
Fit20502,20502,07/04/2016 12:39:40
Fit20503,20503,06/04/2016 18:46:42
Fit20505,20505,12/04/2016 17:27:22
Fit20513,20513,09/04/2016 13:18:46
Fit20520,20520,12/04/2016 09:12:53
Fit20521,20521,12/04/2016 09:14:41
Fit20523,20523,11/04/2016 15:37:40
Fit20524,20524,10/04/2016 16:10:04
Fit20525,20525,13/04/2016 16:25:27
Fit20529,20529,07/04/2016 16:29:25
Fit20532,20532,07/04/2016 17:22:28
