Transaction ID,Order ID,Date,
Fit24230,24230,30/06/2016 23:46:29,
FIT24271,24271,30/06/2016 22:03:03,
FIT24270,24270,30/06/2016 21:21:15,
FIT24268,24268,30/06/2016 21:17:27,
FIT24269,24269,30/06/2016 20:59:31,
Fit24243,24243,30/06/2016 14:41:35,
Fit24218,24218,30/06/2016 14:34:09,
Fit24241,24241,30/06/2016 13:00:50,
FIT24244,24244,30/06/2016 12:37:54,
Fit24194,24194,30/06/2016 12:08:31,
Fit24239,24239,30/06/2016 11:56:03,
FIT24232,24232,30/06/2016 09:43:25,
FIT24227,24227,30/06/2016 07:15:09,
Fit24089,24089,29/06/2016 23:07:56,
Fit23253,23253,29/06/2016 20:30:24,
Fit24207,24207,29/06/2016 16:20:35,
Fit24204,24204,29/06/2016 16:03:07,
Fit24196,24196,29/06/2016 15:04:03,
Fit24200,24200,29/06/2016 14:42:48,
COFIT47,47,29/06/2016 11:54:02,
Fit24179,24179,28/06/2016 23:54:15,
Fit24175,24175,28/06/2016 17:36:32,
Fit24147,24147,28/06/2016 17:22:58,
Fit24143,24143,28/06/2016 17:21:18,
Fit24166,24166,28/06/2016 16:52:30,
Fit24170,24170,28/06/2016 16:47:39,
Fit24172,24172,28/06/2016 16:40:26,
COFIT43,43,28/06/2016 14:01:50,
FIT24146,24146,28/06/2016 13:19:09,
COFIT39,39,28/06/2016 11:15:57,
FIT24124,24124,28/06/2016 08:03:33,
FIT24123,24123,28/06/2016 05:47:08,
COFIT35,35,28/06/2016 00:21:50,
FIT24094,24094,27/06/2016 23:15:53,
Fit23985,23985,27/06/2016 23:12:50,
FIT24093,24093,27/06/2016 23:06:50,
FIT24091,24091,27/06/2016 22:39:19,
COFIT31,31,27/06/2016 20:29:50,
MFIT24083,24083,27/06/2016 20:22:36,
FIT24080,24080,27/06/2016 19:34:55,
FIT24077,24077,27/06/2016 19:27:17,
COFIT30,30,27/06/2016 19:20:44,
FIT24073,24073,27/06/2016 19:11:16,
MFIT24066,24066,27/06/2016 17:34:04,
FIT24061,24061,27/06/2016 17:15:33,
FIT24060,24060,27/06/2016 17:14:48,
Fit23931,23931,27/06/2016 12:17:49,
Fit24029,24029,27/06/2016 11:23:06,
FIT24028,24028,27/06/2016 10:17:15,
FIT24020,24020,27/06/2016 01:15:48,
FIT24016,24016,26/06/2016 23:23:45,
FIT24012,24012,26/06/2016 22:16:15,
FIT24009,24009,26/06/2016 18:13:32,
FIT24008,24008,26/06/2016 14:45:15,
FIT24005,24005,26/06/2016 11:02:00,
FIT24004,24004,26/06/2016 10:53:20,
Fit23930,23930,26/06/2016 07:46:48,
FIT23995,23995,25/06/2016 22:38:42,
COFIT23,23,25/06/2016 14:33:13,
Fit23956,23956,25/06/2016 14:22:13,
FIT23982,23982,25/06/2016 11:57:50,
FIT23980,23980,25/06/2016 11:22:23,
Fit23869,23869,25/06/2016 10:37:13,
Fit23855,23855,25/06/2016 01:42:52,
COFIT21,21,25/06/2016 01:41:29,
FIT23968,23968,24/06/2016 22:37:38,
Fit23945,23945,24/06/2016 22:35:59,
FIT23964,23964,24/06/2016 20:55:59,
Fit23849,23849,24/06/2016 18:09:24,
COFIT20,20,24/06/2016 17:38:33,
Fit23874,23874,24/06/2016 17:19:35,
MFIT23955,23955,24/06/2016 16:29:20,
