ID,NAME,SLUG,DAYS,SESSIONS
4,3 Days,3-days,3,0
5,15 Days,15-days,15,0
10,5 Weeks,5-weeks,35,0
14,1 Year,1-year,360,0
19,1 Week,1-week,7,0
1,1 Month,1-month,30,0
2,1 Month - 8 Sessions,1-month-8-sessions,30,8
3,1 Month - 12 Sessions,1-month-12-sessions,30,12
6,2 Months,2-months,60,0
7,3 Months,3-months,90,0
8,3 Months - 24 Sessions,3-months-24-sessions,90,24
9,3 Months - 36 Sessions,3-months-36-sessions,90,36
11,6 Months,6-months,180,0
12,6 Months - 48 Sessions,6-months-48-sessions,180,48
13,6 Months - 72 Sessions,6-months-72-sessions,180,72
15,13 Months,13-months,390,0
20,3 Months - 12 Sessions,3-months-12-sessions,90,12
21,1 Year - 144 Sessions,1-year-144-sessions,360,144
22,1 Month - 24 Sessions,1-month-24-sessions,30,24
23,3 Months - 72 Sessions,3-months-72-sessions,90,72
24,6 Months - 144 Sessions,6-months-144-sessions,180,144
25,1 Year - 288 Sessions,1-year-288-sessions,360,288
26,1 Month - 18 Sessions,1-month-18-sessions,30,18
27,3 Months - 50 Sessions,3-months-50-sessions,90,50
28,3 Months - 20 Sessions,3-months-20-sessions,90,20
29,3 Months - 10 Sessions,3-months-10-sessions,90,10
30,8 sessions,8-sessions,0,8
31,12 sessions,12-sessions,0,12
32,1 Month - 4 Sessions,1-month-4-sessions,30,4
33,14 Months,14-months,420,0
34,1 month -  16 sessions,1-month-16-sessions,30,16
35,1-2 Weeks,1-2-weeks,7,0
36,15 Days - 6 Sessions,15-days-6-sessions,15,6
37,10 Sessions,10-sessions,0,10
38,30 Sessions,30-sessions,0,30
39,20 Sessions,20-sessions,0,20
40,4 Sessions,4-sessions,0,4
41,36 sessions,36-sessions,0,36
42,24 sessions,24-sessions,0,24
43,72 sessions,72-sessions,0,72
44,48 sessions,48-sessions,0,48
45,15 days - 4 sessions,15-days-4-sessions,15,4
46,2 Months - 16 Sessions,2-months-16-sessions,60,16
47,16 Sessions,16-sessions,0,16
48,6 sessions,6-sessions,0,6
58,4 Months,4-months,120,0
49,1 month - 20 sessions,1-month-20-sessions,30,20
50,6 weeks - 6 sessions,6-weeks-6-sessions,42,6
51,6 weeks - 12 sessions,6-weeks-12-sessions,42,12
52,3 sessions,3-sessions,0,3
53,1 month - 10 sessions,1-month-10-sessions,30,10
54,2.5 months - 10 sessions,2-5-months-10-sessions,60,10
55,2 months - 24 sessions,2-months-24-sessions,60,24
56,2 months - 40 sessions,2-months-40-sessions,60,40
57,2 months - 8 sessions,2-months-8-sessions,60,8
59,5 Months,5-months,150,0
60,3 Months - 48 sessions,3-months-48-sessions,90,48
61,10 Months,10-months,300,0
67,1.5 Months - 15 sessions,1-5-months-15-sessions,30,15
68,2 Weeks,2-weeks,14,0
69,3 Weeks,3-weeks,21,0
70,5 Weeks,5-weeks,35,0
71,1 Year + 6 Months FREE,1-year-6-months-free,360,0
72,1 Year + 1 Month & 2 Physiotherapy Sessions FREE,1-year-1-month-2-physiotherapy-sessions-free,360,0
73,3 Months + 1 Month FREE,3-months-1-month-free,90,0
74,6 Months + 1 Month FREE,6-months-1-month-free,180,0
75,6 Months + 6 Months FREE,6-months-6-months-free,180,0
76,1 Year + 6 Months Spinning,1-year-6-months-spinning,360,0
77,8 Months,8-months,240,0
78,1 Year + 1 Year Free,1-year-1-year-free,360,0
79,2 Months -15 Sessions,2-months-15-sessions,60,15
80,1.5 Months - 10 sessions,1-5-months-10-sessions,30,10
81,1 Month - 6 Sessions,1-month-6-sessions,30,6
82,6 Months - 24 Sessions,6-months-24-sessions,180,24
83,1 Year - 48 Sessions,1-year-48-sessions,360,48
84,1 Year - 96 Sessions,1-year-96-sessions,360,96
85,9 Months,9-months,270,0
86,1 Month - 16 Sessions,1-month-16-sessions,30,16
87,2 Years,2-years,720,0
88,Lifetime,lifetime,0,0
89,40 Days,40-days,40,0
90,4.5 Months,4-5-months,120,0
91,3 Months + 3 Months,3-months-3-months,90,0
92,2 Months - 9 Sessions,2-months-9-sessions,60,9
93,3 Months - 60 Sessions,3-months-60-sessions,90,60
94,6 Months - 96 Sessions,6-months-96-sessions,180,96
95,6 Months - 120 Sessions,6-months-120-sessions,180,120
96,1 Year + 2 Months,1-year-2-months,360,0
97,1 Year + 1 Year Free,1-year-1-year-free,360,0
